<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SBER,4,20111003,103000,67.3,67.7,67.23,67.42,1325066253.5
SBER,4,20111003,110000,67.43,69.05,67.42,68.89,2366778913.2
SBER,4,20111003,113000,68.89,69.21,67.84,68.15,1719782709.4
SBER,4,20111003,120000,68.15,68.62,68.05,68.43,942381837
SBER,4,20111003,123000,68.42,68.6,67.94,67.98,850447869.6
SBER,4,20111003,130000,67.98,68.74,67.96,68.63,620049838.2
SBER,4,20111003,133000,68.62,68.86,68.25,68.39,447133708.1
SBER,4,20111003,140000,68.41,68.69,68.32,68.64,457896175.5
SBER,4,20111003,143000,68.62,68.95,68.54,68.75,560212450.8
SBER,4,20111003,150000,68.76,68.85,68.09,68.48,784615035.4
SBER,4,20111003,153000,68.45,68.53,68.21,68.53,487377886.4
SBER,4,20111003,160000,68.53,68.66,68.06,68.14,845739171.2
SBER,4,20111003,163000,68.16,68.35,67.75,67.87,878822546.7
SBER,4,20111003,170000,67.87,68,67.52,67.73,841426558.1
SBER,4,20111003,173000,67.71,68.21,67.42,67.75,1262539663.4
SBER,4,20111003,180000,67.75,69.87,67.64,69.02,3758730463.3
SBER,4,20111003,183000,69.02,69.17,68.01,68.2,1124700423.4
SBER,4,20111004,103000,67.95,68.79,67.75,68.27,2190818546.7
SBER,4,20111004,110000,68.27,68.27,67.09,67.59,2774544369.3
SBER,4,20111004,113000,67.61,67.65,66.23,66.31,4017047373.8
SBER,4,20111004,120000,66.33,66.4,65.74,66.06,2943400710.4
SBER,4,20111004,123000,66.06,66.47,65.83,66.1,1885656938
SBER,4,20111004,130000,66.1,66.55,65.95,66.09,1586157384.6
SBER,4,20111004,133000,66.1,66.44,65.21,65.88,2890297778.3
SBER,4,20111004,140000,65.87,66.09,65.36,65.59,1495050635.9
SBER,4,20111004,143000,65.6,65.69,64.74,64.74,1848562322.6
SBER,4,20111004,150000,64.74,65.35,64.56,64.85,1740791631
SBER,4,20111004,153000,64.85,65.11,63.66,64.01,3576917570.3
SBER,4,20111004,160000,64.02,64.19,63.05,63.35,3457757926.3
SBER,4,20111004,163000,63.35,64.08,63.31,63.67,2388252540.6
SBER,4,20111004,170000,63.67,63.68,63.21,63.31,1673240939
SBER,4,20111004,173000,63.31,63.72,60.91,61.46,5046090807.1
SBER,4,20111004,180000,61.46,62.73,61.42,62.5,6000790040.2
SBER,4,20111004,183000,62.5,62.72,62.29,62.65,1836585303.8
SBER,4,20111005,103000,63.84,64.67,63.63,64.67,1548920725.3
SBER,4,20111005,110000,64.68,64.85,63.36,63.38,2496230060.8
SBER,4,20111005,113000,63.39,63.69,62.28,62.65,2641857850
SBER,4,20111005,120000,62.62,63.26,62.56,62.97,1834701623.1
SBER,4,20111005,123000,62.98,63.29,62.62,63.08,830744754.6
SBER,4,20111005,130000,63.08,63.58,62.23,62.46,2106171971.4
SBER,4,20111005,133000,62.46,62.5,61.1,61.85,2313649183.2
SBER,4,20111005,140000,61.84,63.1,61.36,63.02,2129025698.7
SBER,4,20111005,143000,63.01,63.44,62.32,62.87,1939682802.9
SBER,4,20111005,150000,62.88,63.59,62.6,62.8,1325872129.2
SBER,4,20111005,153000,62.8,62.82,61.85,62.1,1467556379.7
SBER,4,20111005,160000,62.08,62.79,61.9,62.15,1444730296.5
SBER,4,20111005,163000,62.14,62.18,61.45,61.99,1502625753.4
SBER,4,20111005,170000,61.99,62.52,61.88,62.4,1180547267.8
SBER,4,20111005,173000,62.4,62.8,61.4,62.26,2476914792.4
SBER,4,20111005,180000,62.23,62.99,62.14,62.47,2344208252.4
SBER,4,20111005,183000,62.48,62.99,62.47,62.79,949792401.2
SBER,4,20111006,103000,64.63,64.79,64.28,64.58,1622260369.1
SBER,4,20111006,110000,64.58,65.86,64.54,65.67,3174645390.3
SBER,4,20111006,113000,65.72,65.94,65.12,65.45,2201637577.8
SBER,4,20111006,120000,65.45,65.85,65.19,65.53,1455154802.8
SBER,4,20111006,123000,65.52,65.89,65.34,65.52,1231330251.4
SBER,4,20111006,130000,65.54,65.72,65.37,65.63,908661434.4
SBER,4,20111006,133000,65.64,65.64,65.12,65.55,961487263.4
SBER,4,20111006,140000,65.53,65.55,65.1,65.5,829212831.4
SBER,4,20111006,143000,65.5,65.65,65.31,65.65,433570575.1
SBER,4,20111006,150000,65.65,66.2,65.6,65.8,1642759563.6
SBER,4,20111006,153000,65.79,66.04,64.86,65.4,2458587175.4
SBER,4,20111006,160000,65.4,65.44,64.8,65.31,2273395348.5
SBER,4,20111006,163000,65.31,65.66,65.22,65.55,1887327217.9
SBER,4,20111006,170000,65.54,65.54,64.68,65.09,1767544832.3
SBER,4,20111006,173000,65.09,65.45,64.51,64.9,1815156538.3
SBER,4,20111006,180000,64.9,65.89,64.75,65.89,1689762501.8
SBER,4,20111006,183000,65.89,65.96,65.7,65.8,1204380614.9
SBER,4,20111007,103000,67.26,67.45,67.11,67.29,1151003779.4
SBER,4,20111007,110000,67.29,67.66,67.02,67.42,2170108368.9
SBER,4,20111007,113000,67.43,67.94,67.4,67.8,1772634856.1
SBER,4,20111007,120000,67.8,67.95,67.57,67.84,1129375363
SBER,4,20111007,123000,67.84,67.85,67.24,67.36,1334915891.7
SBER,4,20111007,130000,67.35,67.54,66.67,67.02,1504799557.2
SBER,4,20111007,133000,67,67.2,66.56,66.8,1022487108.8
SBER,4,20111007,140000,66.82,67.2,66.74,66.95,503140571.8
SBER,4,20111007,143000,66.96,67.04,66.87,66.92,245588342.9
SBER,4,20111007,150000,66.98,67.42,66.91,67.1,770608440.7
SBER,4,20111007,153000,67.09,67.25,66.96,67.14,366438615.9
SBER,4,20111007,160000,67.14,67.78,67.13,67.59,1132659423.5
SBER,4,20111007,163000,67.58,68.48,67.56,68.19,3853364996.5
SBER,4,20111007,170000,68.2,68.48,68.1,68.46,1159634633
SBER,4,20111007,173000,68.46,68.46,67.32,67.97,2174231262.3
SBER,4,20111007,180000,68,68.24,67.68,68.07,1285559220.3
SBER,4,20111007,183000,68.06,68.3,67.97,68.22,1042354080.7
SBER,4,20111010,103000,68.82,68.92,68.43,68.62,922175586.9
SBER,4,20111010,110000,68.62,68.74,67.04,67.34,2390743437.1
SBER,4,20111010,113000,67.33,67.69,67.1,67.66,1450755095.5
SBER,4,20111010,120000,67.66,67.68,67.26,67.45,720942868.6
SBER,4,20111010,123000,67.45,68.05,67.27,67.82,1247645876.8
SBER,4,20111010,130000,67.83,68.04,67.64,67.92,604097432.8
SBER,4,20111010,133000,67.92,67.99,67.75,67.96,335246188.4
SBER,4,20111010,140000,67.96,68.83,67.92,68.53,1538946717.7
SBER,4,20111010,143000,68.57,68.57,67.83,68.17,837908671.6
SBER,4,20111010,150000,68.15,68.42,67.93,68.25,575414738
SBER,4,20111010,153000,68.26,68.33,67.85,68.04,519592406.4
SBER,4,20111010,160000,68.04,68.28,67.94,68.24,702347476.4
SBER,4,20111010,163000,68.22,68.53,68.04,68.51,703263889.4
SBER,4,20111010,170000,68.51,68.67,68.33,68.51,682025506.9
SBER,4,20111010,173000,68.53,69.5,68.47,69.46,2623840588.8
SBER,4,20111010,180000,69.48,70.27,69.46,70,3064392462.7
SBER,4,20111010,183000,70,70.6,69.89,70.6,1178214689.5
SBER,4,20111011,103000,69.79,70.08,69.61,70.02,971415620.5
SBER,4,20111011,110000,70.01,70.77,69.63,70.64,2116936021.3
SBER,4,20111011,113000,70.64,71.08,70.3,70.7,2158329192.6
SBER,4,20111011,120000,70.71,70.71,69.73,70.19,1891127198.5
SBER,4,20111011,123000,70.19,70.19,69.26,69.51,1463615467
SBER,4,20111011,130000,69.51,70.08,69.2,69.8,1021375452.1
